File_Name,File_Path,Exact_Matches,Fuzzy_Matches,Missing_Items,Total_Issues
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,18,5,0,14
"1 800 WATER DAMAGE INTERNATIONAL, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 WATER DAMAGE INTERNATIONAL, LLC_2024.json",23,0,0,0
"1 PERCENT LISTS FRANCHISES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 PERCENT LISTS FRANCHISES, LLC_2024.json",23,0,0,0
"1 TOM PLUMBER GLOBAL, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 TOM PLUMBER GLOBAL, INC._2024.json",23,0,0,0
1-800-RADIATOR FRANCHISOR SPV LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-RADIATOR FRANCHISOR SPV LLC_2024.json,22,1,0,3
"1-800-SERVICES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-SERVICES, LLC_2024.json",18,5,0,10
"1-800-TEXTILES FRANCHISES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-TEXTILES FRANCHISES, LLC_2024.json",21,2,0,5
1073355 ONTARIO LIMITED_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1073355 ONTARIO LIMITED_2023.json,23,0,0,0
10X BUSINESS ADVISOR FRANCHISING LLC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\10X BUSINESS ADVISOR FRANCHISING LLC_2023.json,22,1,0,2
"16 HANDLES FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\16 HANDLES FRANCHISING, LLC_2024.json",23,0,0,0
"1800PACKOUTS FRANCHISE, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1800PACKOUTS FRANCHISE, LLC_2024.json",23,0,0,0
1HCS FRANCHISING LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1HCS FRANCHISING LLC_2024.json,23,0,0,0
"1ST CLASS FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1ST CLASS FRANCHISING, LLC_2024.json",23,0,0,0
"2ND FAMILY FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\2ND FAMILY FRANCHISING, LLC_2024.json",23,0,0,0
"30 MINUTE HIT USA, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\30 MINUTE HIT USA, LLC_2024.json",22,1,0,3
"360 PAINTING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\360 PAINTING, LLC_2024.json",22,0,1,1
"360BRANDS, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\360BRANDS, INC._2024.json",21,2,0,5
4EVER FRANCHISOR LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\4EVER FRANCHISOR LLC_2024.json,22,1,0,3
76 FRANCHISE GROUP LLC (REGIONAL DEVELOPER)_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\76 FRANCHISE GROUP LLC (REGIONAL DEVELOPER)_2024.json,23,0,0,0
911 RESTORATION FRANCHISE INC._2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\911 RESTORATION FRANCHISE INC._2024.json,21,2,0,4
"9ROUND FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\9ROUND FRANCHISING, LLC_2024.json",23,0,0,0
"9ROUND HOLDING COMPANY, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\9ROUND HOLDING COMPANY, LLC_2024.json",23,0,0,0
A&W RESTAURANTS INC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\A&W RESTAURANTS INC_2024.json,23,0,0,0
"A1 KITCHEN & BATH FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\A1 KITCHEN & BATH FRANCHISING, LLC_2024.json",23,0,0,0
AAMCO TRANSMISSIONS LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AAMCO TRANSMISSIONS LLC_2024.json,23,0,0,0
"ABBEY CARPET CO., INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ABBEY CARPET CO., INC._2024.json",22,0,1,1
"ABC, INC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ABC, INC_2024.json",19,4,0,8
"ABCSP, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ABCSP, LLC_2024.json",23,0,0,0
