Item,Page,Found,Match_Type,Header_Text
1,6,✓,EXACT,ITEM 1
2,9,✓,EXACT,ITEM 2
3,10,✓,EXACT,ITEM 3
4,10,✓,EXACT,ITEM 4
5,10,✓,EXACT,ITEM 5
6,11,✓,EXACT,ITEM 6
7,18,✓,EXACT,ITEM 7
8,22,✓,EXACT,ITEM 8
9,25,✓,EXACT,ITEM 9
10,26,✓,EXACT,ITEM 10
11,26,✓,EXACT,ITEM 11
12,36,✓,EXACT,ITEM 12
13,37,✓,EXACT,[Item 13 begins on Next Page]
14,40,✓,EXACT,ITEM 14
15,41,✓,EXACT,ITEM 15
16,42,✓,EXACT,ITEM 16
17,43,✓,EXACT,ITEM 17
18,48,✓,EXACT,ITEM 18
19,49,✓,EXACT,ITEM 19
20,54,✓,EXACT,ITEM 20
21,58,✓,EXACT,ITEM 21
22,58,✓,EXACT,ITEM 22
23,58,✓,EXACT,ITEM 23
