self_ref,text,level,page_no,orig
#/texts/0,FRANCHISE DISCLOSURE DOCUMENT,1,1,FRANCHISE DISCLOSURE DOCUMENT
#/texts/13,How to Use This Franchise Disclosure Document,1,2,How to Use This Franchise Disclosure Document
#/texts/16,What You Need To Know About Franchising Generally,1,3,What You Need To Know About Franchising Generally
#/texts/24,Some States Require Registration,1,3,Some States Require Registration
#/texts/28,Special Risks to Consider About This Franchise,1,4,Special Risks to Consider About This Franchise
#/texts/35,Exhibits,1,5,Exhibits
#/texts/39,ITEM 1,1,6,ITEM 1
#/texts/40,"THE FRANCHISOR AND ANY PARENTS, PREDECESSORS, AND AFFILIATES",1,6,"THE FRANCHISOR AND ANY PARENTS, PREDECESSORS, AND AFFILIATES"
#/texts/42,"Franchisor, Parent, and Affiliates",1,6,"Franchisor, Parent, and Affiliates"
#/texts/48,Agent for Service of Process,1,6,Agent for Service of Process
#/texts/50,Prior Business Experience,1,6,Prior Business Experience
#/texts/52,The Business and Franchise We Offer,1,6,The Business and Franchise We Offer
#/texts/62,Market and Competition,1,8,Market and Competition
#/texts/66,Regulations,1,8,Regulations
#/texts/74,ITEM 2,1,9,ITEM 2
#/texts/75,BUSINESS EXPERIENCE,1,9,BUSINESS EXPERIENCE
#/texts/76,"ROCKY HENSLEY, Chairman, Parent Member",1,9,"ROCKY HENSLEY, Chairman, Parent Member"
#/texts/78,"KAMERON HENSLEY, President, Parent Member",1,9,"KAMERON HENSLEY, President, Parent Member"
#/texts/80,"ANGELA HONEYCUTT, Vice President",1,9,"ANGELA HONEYCUTT, Vice President"
#/texts/84,"LEAH HANLON , Business Development Manager",1,10,"LEAH HANLON , Business Development Manager"
#/texts/86,"MICHAEL HUBBARD, Vice President of Franchise Development",1,10,"MICHAEL HUBBARD, Vice President of Franchise Development"
#/texts/88,"CHRISTINA SCHOONOVER , Training Specialist",1,10,"CHRISTINA SCHOONOVER , Training Specialist"
#/texts/90,"HARLAN BOYCE, Trainer",1,10,"HARLAN BOYCE, Trainer"
#/texts/92,ITEM 3,1,10,ITEM 3
#/texts/93,LITIGATION,1,10,LITIGATION
#/texts/95,ITEM 4,1,10,ITEM 4
#/texts/96,BANKRUPTCY,1,10,BANKRUPTCY
#/texts/98,ITEM 5,1,10,ITEM 5
#/texts/99,INITIAL FEES,1,10,INITIAL FEES
#/texts/103,ITEM 6,1,11,ITEM 6
#/texts/104,OTHER FEES,1,11,OTHER FEES
#/texts/111,Notes,1,16,Notes
#/texts/124,ITEM 7,1,18,ITEM 7
#/texts/125,ESTIMATED INITIAL INVESTMENT,1,18,ESTIMATED INITIAL INVESTMENT
#/texts/126,YOUR ESTIMATED INITIAL INVESTMENT - SINGLE UNIT,1,18,YOUR ESTIMATED INITIAL INVESTMENT - SINGLE UNIT
#/texts/128,YOUR ESTIMATED INITIAL INVESTMENT - SINGLE UNIT,1,19,YOUR ESTIMATED INITIAL INVESTMENT - SINGLE UNIT
#/texts/129,Notes to Item 7,1,19,Notes to Item 7
#/texts/130,General,1,19,General
#/texts/137,Initial Fee,1,20,Initial Fee
#/texts/139,Leasehold Improvement and Site Development,1,20,Leasehold Improvement and Site Development
#/texts/144,"Equipment, Furniture, Fixtures and Signage",1,20,"Equipment, Furniture, Fixtures and Signage"
#/texts/152,Computers and Telecommunications,1,21,Computers and Telecommunications
#/texts/155,Training,1,21,Training
#/texts/159,Additional Expenses - - 3 Months,1,21,Additional Expenses - - 3 Months
#/texts/162,Other Expenses and Prepayments,1,22,Other Expenses and Prepayments
#/texts/170,ITEM 8,1,22,ITEM 8
#/texts/171,RESTRICTIONS ON SOURCES OF PRODUCTS AND SERVICES,1,22,RESTRICTIONS ON SOURCES OF PRODUCTS AND SERVICES
#/texts/172,Required Purchases and Approved and Designated Suppliers,1,22,Required Purchases and Approved and Designated Suppliers
#/texts/178,Insurance,1,23,Insurance
#/texts/188,"Employee Dishonesty/Fidelity insurance with a limit of $100,000; and",1,24,"Employee Dishonesty/Fidelity insurance with a limit of $100,000; and"
#/texts/191,Approval of Alternative Suppliers; Product Specifications,1,24,Approval of Alternative Suppliers; Product Specifications
#/texts/195,Percentage of Total Purchases Represented by Required Purchases,1,24,Percentage of Total Purchases Represented by Required Purchases
#/texts/197,Payments to Franchisor from Designated Suppliers,1,24,Payments to Franchisor from Designated Suppliers
